ID	gen_refex	Target	Title
0001	Kenneth Roman	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0002	he	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0006	Kenneth Roman's	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0007	his	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0011	The United States Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0012	it	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0013	the currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0014	the Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0015	the US Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0016	its	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0017	the United States Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0021	The Talking Chip	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0024	its	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0026	it	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0028	George W. Bush's	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0029	George W. Bush	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0032	George W. Bush's position	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0035	Detrex Corp.	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0036	the company	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0037	its	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0039	it	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0040	The company	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0045	Dr Shin Yonehara and Dr Nobuyuku Kobayashi	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0047	they	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0049	The two Japanese scientists	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0050	their	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0051	Dr Shin Yonehara and Dr Nobuyuku Kobayashi said	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0052	Nick Mancuso	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0053	he	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0055	Mancuso	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0059	his	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0060	Public Service co.	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0061	the New Hampshire company	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0062	the company	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0063	Public Service co.'s	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0064	the corporation	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0065	It	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0066	its	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0068	Canada's	Canada (it/its)	Canada is a large country in North America with many natural resources.
0071	Canada	Canada (it/its)	Canada is a large country in North America with many natural resources.
0077	Venice	Venice (it/its)	Venice is a city in Italy famous for its canals.
0079	the city	Venice (it/its)	Venice is a city in Italy famous for its canals.
0080	The Italian city	Venice (it/its)	Venice is a city in Italy famous for its canals.
0081	it	Venice (it/its)	Venice is a city in Italy famous for its canals.
0082	Venice's	Venice (it/its)	Venice is a city in Italy famous for its canals.
0083	the canal city	Venice (it/its)	Venice is a city in Italy famous for its canals.
0088	He	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0098	the U.S. Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0099	its stability	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0100	the dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0102	the U.S. currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0105	the speech synthesiser	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0106	the advertisement	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0108	The application of this technology	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0109	this initiative	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0110	this innovation	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0115	George W. Bush's stance	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0123	The manufacturing company	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0126	The corporation	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0129	Dr Yonehara and Dr Kobayashi	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0130	these two Japanese scientists	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0132	The scientists	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0136	the FBI Agent	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0137	this TV series character	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0140	the show	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0141	him	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0147	the United States company's	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0150	the American company	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0178	the official currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0181	the US currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0182	the state of the Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0183	the value of the Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0191	This technology	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0193	this speech synthesiser	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0219	the FBI agent	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0222	this TV series agent	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0223	Nick Mancuso's performance	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0224	the character played by Mancuso	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0232	it	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0233	the firm	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0244	this Italian city	Venice (it/its)	Venice is a city in Italy famous for its canals.
0261	The official currency of the United States	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0265	the monetary unit of The United States	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0267	this currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0268	The dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0269	the American Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
