uniqueID	unique_connecting_code	original_ref	orig_ref_form	ptcp_name	ptcp_refex	docname	type	anno_coarse_ref	anno_fine_ref	anno_comment_ref	sentence_distance	paragraph_distance	animacy	gm	prev_ref	document	doctype
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	AKNYT1NTK2UFK	Canadaian	Answer.citycountry_10328	Answer.citycountry	name	no_modification	attrib	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A19S4W3QLLQJ0T	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A6D4ZL7O2NH8M	canada	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A3HSONMX6LNZR4	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	ANVAFB99K5RKP	Canadian	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A2NHFSO7GMM8QR	its	Answer.citycountry_10328	Answer.citycountry	pronoun	NA	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A1B5SSGMTAQ9B5	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A28T38MOUG43YD	of the	Answer.citycountry_10328	Answer.citycountry	unacceptable	NA	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A2UTDZAZV1DF0N	it's	Answer.citycountry_10328	Answer.citycountry	pronoun	NA	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A2WUXZOY4CRF5R	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A10AVWALIHR4UQ	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A30HUZHJBOX1LK	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A248LF7KKHXZ14	Canada	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A10MSB9X1UFLJ5	Canada	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A3LVLZS8S41ZD7	Canadian	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	AXY0D2AMLKE2A	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A2FL477TMKC91L	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A12J4IRF5Z06BT	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A3KC385CZNYEG5	the nation's	Answer.citycountry_10328	Answer.citycountry	description	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_1_75_32	citycountry_10328_wsj2363_1	Canada 's	name	A1QCUR2Z75LS5N	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	first_mention	first_mention	other	subj-det	first_mention	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	AKNYT1NTK2UFK	Canada is the	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A19S4W3QLLQJ0T	its	Answer.citycountry_10328	Answer.citycountry	pronoun	NA	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A6D4ZL7O2NH8M	its	Answer.citycountry_10328	Answer.citycountry	pronoun	NA	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A3HSONMX6LNZR4	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	ANVAFB99K5RKP	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A2NHFSO7GMM8QR	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A1B5SSGMTAQ9B5	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A28T38MOUG43YD	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A2UTDZAZV1DF0N	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A2WUXZOY4CRF5R	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A10AVWALIHR4UQ	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A30HUZHJBOX1LK	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A248LF7KKHXZ14	it's	Answer.citycountry_10328	Answer.citycountry	pronoun	NA	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A10MSB9X1UFLJ5	the country's	Answer.citycountry_10328	Answer.citycountry	description	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A3LVLZS8S41ZD7	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	AXY0D2AMLKE2A	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A2FL477TMKC91L	the country's	Answer.citycountry_10328	Answer.citycountry	description	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A12J4IRF5Z06BT	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A3KC385CZNYEG5	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_2_75_3	citycountry_10328_wsj2363_2	Canada 's	name	A1QCUR2Z75LS5N	the	Answer.citycountry_10328	Answer.citycountry	unacceptable	NA	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	AKNYT1NTK2UFK	the Canadian	Answer.citycountry_10328	Answer.citycountry	name	NA	attrib	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A19S4W3QLLQJ0T	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A6D4ZL7O2NH8M	natural	Answer.citycountry_10328	Answer.citycountry	unacceptable	NA	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A3HSONMX6LNZR4	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	ANVAFB99K5RKP	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A2NHFSO7GMM8QR	its	Answer.citycountry_10328	Answer.citycountry	pronoun	NA	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A1B5SSGMTAQ9B5	Canadian	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A28T38MOUG43YD	The	Answer.citycountry_10328	Answer.citycountry	unacceptable	NA	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A2UTDZAZV1DF0N	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A2WUXZOY4CRF5R	Canadian	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A10AVWALIHR4UQ	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A30HUZHJBOX1LK	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A248LF7KKHXZ14	it's	Answer.citycountry_10328	Answer.citycountry	pronoun	NA	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A10MSB9X1UFLJ5	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A3LVLZS8S41ZD7	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	AXY0D2AMLKE2A	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A2FL477TMKC91L	Canada's	Answer.citycountry_10328	Answer.citycountry	name	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A12J4IRF5Z06BT	the Canadian	Answer.citycountry_10328	Answer.citycountry	name	NA	attrib	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
wsj_2363_7_75_3	citycountry_10328_wsj2363_3	Canada 's	name	A3KC385CZNYEG5	our country's	Answer.citycountry_10328	Answer.citycountry	description	no_modification	NA	diff_sent	different_par	other	subj-det	name	citycountry_10328_wsj2363	citycountry
