unique_connecting_code	uniqueID	original_ref	orig_ref_form	sentence_distance	paragraph_distance	animacy	gm	prev_ref
human_3922_wsj1246_1	wsj_1246_1_21_2	Two Japanese scientists	description	first_mention	first_mention	human	np-subj	first_mention
human_3922_wsj1246_2	wsj_1246_1_21_5	they	pronoun	same_sent	same_par	human	np-subj	description
human_3922_wsj1246_3	wsj_1246_5_21_3	the researchers themselves	description	diff_sent	different_par	human	np-subj	pronoun
human_3922_wsj1246_4	wsj_1246_5_21_6	they	pronoun	same_sent	same_par	human	np-subj	description
human_3922_wsj1246_5	wsj_1246_5_21_14	they	pronoun	same_sent	same_par	human	np-subj	pronoun
human_3922_wsj1246_6	wsj_1246_8_21_11	Dr. Yonehara and his partner , Nobuyuki Kobayashi of Yamaguchi University	name	diff_sent	different_par	human	np-subj	pronoun
human_3922_wsj1246_7	wsj_1246_8_21_14	their	pronoun	same_sent	same_par	human	subj-det	name
human_3922_wsj1246_8	wsj_1246_9_21_15	the researchers	description	diff_sent	same_par	human	np-subj	pronoun
human_6062_wsj1397_1	wsj_1397_1_74_10	FBI Agent Nick Mancuso	name	first_mention	first_mention	human	np-subj	first_mention
human_6062_wsj1397_2	wsj_1397_2_74_11	the crusty FBI agent with the heart of gold	description	diff_sent	same_par	human	np-obj	name
human_6062_wsj1397_3	wsj_1397_8_74_17	the unlovable -- even crotchety -- veteran agent	description	diff_sent	different_par	human	np-obj	description
human_6062_wsj1397_4	wsj_1397_9_74_19	he	pronoun	diff_sent	same_par	human	np-subj	description
human_6062_wsj1397_5	wsj_1397_12_74_17	Mancuso	name	diff_sent	different_par	human	np-subj	pronoun
human_6062_wsj1397_6	wsj_1397_19_74_14	the character of Mancuso	description	diff_sent	different_par	human	np-obj	name
human_6062_wsj1397_7	wsj_1397_20_74_6	the veteran FBI man	description	diff_sent	different_par	human	np-subj	description
human_6062_wsj1397_8	wsj_1397_20_74_10	his	pronoun	same_sent	same_par	human	subj-det	description
other_12559_wsj2440_1	wsj_2440_2_27_42	a speech synthesizer laminated * between two of the pages	description	same_sent	first_mention	other	np-obj	first_mention
other_12559_wsj2440_2	wsj_2440_3_27_32	the talking chip	description	diff_sent	same_par	other	np-obj	description
other_12559_wsj2440_3	wsj_2440_3_27_36	it	pronoun	same_sent	same_par	other	np-subj	description
other_12559_wsj2440_4	wsj_2440_3_27_45	its	pronoun	same_sent	same_par	other	subj-det	pronoun
other_12559_wsj2440_5	wsj_2440_4_27_2	The talking chip	description	diff_sent	different_par	other	np-subj	pronoun
other_12559_wsj2440_6	wsj_2440_4_27_38	it	pronoun	same_sent	same_par	other	np-subj	description
other_12559_wsj2440_7	wsj_2440_5_27_25	the voice synthesizer in this effort	description	same_sent	same_par	other	np-subj	pronoun
other_2457_wsj1102_1	wsj_1102_1_53_1	The dollar	description	first_mention	first_mention	other	np-subj	first_mention
other_2457_wsj1102_2	wsj_1102_2_53_22	the dollar	description	diff_sent	different_par	other	np-subj	description
other_2457_wsj1102_3	wsj_1102_3_53_26	the U.S. unit	description	diff_sent	different_par	other	np-obj	description
other_2457_wsj1102_4	wsj_1102_5_53_17	the dollar	description	diff_sent	different_par	other	np-obj	description
other_2457_wsj1102_5	wsj_1102_6_53_8	the dollar	description	diff_sent	different_par	other	np-subj	description
other_2457_wsj1102_6	wsj_1102_8_53_18	the dollar	description	diff_sent	different_par	other	np-obj	description
other_2457_wsj1102_7	wsj_1102_9_53_20	the U.S. currency	description	diff_sent	same_par	other	np-obj	description
other_2457_wsj1102_8	wsj_1102_9_53_25	it	pronoun	same_sent	same_par	other	np-subj	description
other_2457_wsj1102_9	wsj_1102_10_53_8	the dollar	description	diff_sent	different_par	other	np-subj	pronoun
other_2457_wsj1102_10	wsj_1102_12_53_6	the U.S. currency	description	diff_sent	different_par	other	np-subj	description
human_1670_wsj1017_1	wsj_1017_1_37_19	President Bush 's	name	first_mention	first_mention	human	subj-det	first_mention
human_1670_wsj1017_2	wsj_1017_3_37_26	Mr. Bush	name	diff_sent	different_par	human	np-obj	name
human_1670_wsj1017_3	wsj_1017_4_37_42	the president , who *T*-2 has threatened *PRO*-3 to make abortion a	description	diff_sent	different_par	human	np-obj	name
human_1670_wsj1017_4	wsj_1017_7_37_17	the president	description	diff_sent	different_par	human	np-subj	description
human_1670_wsj1017_5	wsj_1017_8_37_2	he	pronoun	diff_sent	same_par	human	np-subj	description
human_1670_wsj1017_6	wsj_1017_9_37_8	the president	description	diff_sent	different_par	human	np-obj	pronoun
human_1670_wsj1017_7	wsj_1017_15_37_41	the president	description	diff_sent	different_par	human	np-obj	description
org_3053_wsj1145_1	wsj_1145_1_49_21	Public Service Co. of New Hampshire , which *T*-1 is operating under	name	first_mention	first_mention	other	np-obj	first_mention
org_3053_wsj1145_2	wsj_1145_2_49_52	the company , the largest utility in New Hampshire	description	diff_sent	different_par	other	np-obj	name
org_3053_wsj1145_3	wsj_1145_7_49_24	PS of New Hampshire	name	diff_sent	different_par	other	np-subj	description
