uniqueID	sentence_distance	paragraph_distance	animacy	gm	prev_ref	chain_id	content	fineRefForm	six_ref_form	five_ref_form	four_ref_form	three_ref_form	two_ref_form	UPOS	argumentType	vntheta
wsj_0020_1_12_1	first_mention	first_mention	other	np-subj	first_mention	2	The U.S.	prop	n	n	n	n	nonp	DET PROPN		
wsj_0020_1_12_8	same_sent	same_par	other	subj-det	name	2	its	p	p	p	p	p	p	PRON		
wsj_0020_1_53_14	first_mention	first_mention	other	np-obj	first_mention	14	South Korea	prop	n	n	n	n	nonp	PROPN PROPN		
wsj_0020_1_55_19	first_mention	first_mention	other	np-obj	first_mention	16	South Korea , Taiwan and Saudi Arabia	prop	n	n	n	n	nonp	PROPN PROPN PROPN CCONJ PROPN PROPN ADP	ARG1	theme
wsj_0020_1_7_16	first_mention	first_mention	other	np-obj	first_mention	23	Taiwan	prop	n	n	n	n	nonp	PROPN		
wsj_0020_1_54_19	first_mention	first_mention	other	np-obj	first_mention	15	Saudi Arabia	prop	n	n	n	n	nonp	PROPN PROPN		
wsj_0020_1_50_47	first_mention	first_mention	other	np-obj	first_mention	12	a list of countries 0 it is closely watching *T*-2 for *PRO* allegedly	indefl	dlm	dm	dm	d	nonp	DET NOUN ADP NOUN PRON AUX ADV VERB SCONJ ADV VERB ADP PROPN PROPN NOUN NOUN CCONJ ADJ ADJ NOUN NOUN		
wsj_0020_1_12_26	same_sent	same_par	other	np-subj	pronoun	2	it	p	p	p	p	p	p	PRON	ARG0	experiencer
wsj_0020_2_47_15	first_mention	first_mention	other	np-subj	first_mention	10	five other countries -- China , Thailand , India , Brazil and Mexico --	prop	n	n	n	n	nonp	NUM ADJ NOUN PROPN PROPN PROPN PROPN CCONJ PROPN AUX VERB ADP PRON ADV	ARG1	theme
wsj_0020_2_50_25	diff_sent	different_par	other	np-obj	description	12	that so - called priority watch list	distl	dlm	dm	dm	d	nonp	PRON ADV VERB NOUN NOUN NOUN ADP		
wsj_0020_2_10_38	first_mention	first_mention	human	np-subj	first_mention	1	U.S. Trade Representative Carla Hills	flmod	nm	nm	n	n	nonp	PROPN PROPN PROPN PROPN PROPN	ARG0	agent
wsj_0020_3_60_5	first_mention	first_mention	other	np-obj	first_mention	22	the new U.S. trade law	defsmo	dsm	dm	dm	d	nonp	DET ADJ PROPN NOUN NOUN		
wsj_0020_3_47_8	diff_sent	same_par	other	np-subj	name	10	those countries	dists	d	d	d	d	nonp	DET NOUN	ARG0	
wsj_0020_3_47_21	same_sent	same_par	other	np-subj	description	10	they	p	p	p	p	p	p	PRON	ARG0	agent
wsj_0020_3_47_25	same_sent	same_par	other	subj-det	pronoun	10	their	p	p	p	p	p	p	PRON		
wsj_0020_4_10_1	diff_sent	different_par	human	np-subj	name	1	Mrs. Hills	titl	n	n	n	n	nonp	PROPN PROPN	ARG0	agent
wsj_0020_4_10_10	same_sent	same_par	human	np-subj	name	1	she	p	p	p	p	p	p	PRON	ARG0	agent
wsj_0020_5_10_0	diff_sent	same_par	human	np-subj	pronoun	1	She	p	p	p	p	p	p	PRON	ARG0	agent
wsj_0020_6_38_13	first_mention	first_mention	other	np-subj	first_mention	8	countries with inadequate protections for intellectual - property rights	indefl	dlm	dm	dm	d	nonp	NOUN ADP ADJ NOUN ADP ADJ NOUN NOUN AUX		
wsj_0020_6_38_17	same_sent	same_par	other	np-obj	description	8	themselves	reflp	p	p	p	p	p	PRON	ARG1	experiencer
wsj_0020_6_38_21	same_sent	same_par	other	subj-det	pronoun	8	their	p	p	p	p	p	p	PRON		
wsj_0020_6_9_34	first_mention	first_mention	other	np-obj	first_mention	24	U.S. high - technology firms	indefsmo	dsm	dm	dm	d	nonp	PROPN ADJ NOUN NOUN ADP		
wsj_0020_6_9_40	same_sent	same_par	other	subj-det	description	24	their	p	p	p	p	p	p	PRON		
wsj_0020_7_10_1	diff_sent	different_par	human	np-subj	pronoun	1	Mrs. Hills	titl	n	n	n	n	nonp	PROPN PROPN	ARG0	Agent
wsj_0020_7_53_4	diff_sent	different_par	other	np-obj	name	14	South Korea	prop	n	n	n	n	nonp	PROPN PROPN		
wsj_0020_7_36_30	first_mention	first_mention	human	np-obj	first_mention	7	special enforcement teams of police officers and prosecutors trained *PRO*	indefl	dlm	dm	dm	d	nonp	ADJ NOUN NOUN ADP NOUN NOUN CCONJ NOUN VERB PART VERB NOUN CCONJ NOUN NOUN		
wsj_0020_8_53_0	diff_sent	same_par	other	np-subj	name	14	Seoul	prop	n	n	n	n	nonp	PROPN	ARG0	agent
wsj_0020_8_36_16	diff_sent	same_par	human	np-obj	description	7	these teams	dists	d	d	d	d	nonp	DET NOUN	ARG2	beneficiary
wsj_0020_8_10_19	diff_sent	same_par	human	np-subj	name	1	she	p	p	p	p	p	p	PRON	ARG0	agent
wsj_0020_9_7_0	diff_sent	different_par	other	np-subj	name	23	Taiwan	prop	n	n	n	n	nonp	PROPN	ARG0	agent
wsj_0020_9_7_3	same_sent	same_par	other	subj-det	name	23	its	p	p	p	p	p	p	PRON		
wsj_0020_9_12_7	diff_sent	different_par	other	np-obj	pronoun	2	the U.S.	prop	n	n	n	n	nonp	DET PROPN		
wsj_0020_9_7_17	same_sent	same_par	other	subj-det	pronoun	23	its	p	p	p	p	p	p	PRON		
wsj_0020_9_6_29	first_mention	first_mention	human	np-obj	first_mention	21	foreign movie producers	indefsmo	dsm	dm	dm	d	nonp	ADJ NOUN NOUN	ARG1	theme
wsj_0020_9_6_34	same_sent	same_par	human	subj-det	description	21	their	p	p	p	p	p	p	PRON		
wsj_0020_10_7_5	diff_sent	same_par	other	subj-det	pronoun	23	Taipei 's	prop	n	n	n	n	nonp	PROPN PART		
wsj_0020_10_5_18	first_mention	first_mention	human	np-obj	first_mention	11	movie producers	indefsmo	dsm	dm	dm	d	nonp	NOUN NOUN	ARG2	
wsj_0020_10_5_22	same_sent	same_par	human	subj-det	description	11	their	p	p	p	p	p	p	PRON		
wsj_0020_11_54_1	diff_sent	different_par	other	np-subj	name	15	Saudi Arabia	prop	n	n	n	n	nonp	PROPN PROPN	ARG0	
wsj_0020_11_54_4	same_sent	same_par	other	subj-det	name	15	its	p	p	p	p	p	p	PRON		
wsj_0020_11_30_18	first_mention	first_mention	other	np-obj	first_mention	5	a copyright law compatible with international standards	indefl	dlm	dm	dm	d	nonp	DET NOUN NOUN ADJ ADP ADJ NOUN	ARG1	
wsj_0020_11_30_24	same_sent	same_par	other	np-obj	description	5	the law	defs	d	d	d	d	nonp	DET NOUN	ARG1	theme
wsj_0020_11_10_36	diff_sent	different_par	human	np-subj	pronoun	1	Mrs. Hills	titl	n	n	n	n	nonp	PROPN PROPN	ARG0	agent
wsj_0020_12_55_2	diff_sent	different_par	other	np-subj	name	16	These three countries	distsmo	dsm	dm	dm	d	nonp	DET NUM NOUN	ARG1	
wsj_0020_13_55_0	diff_sent	same_par	other	np-subj	description	16	They	p	p	p	p	p	p	PRON	ARG1	theme
wsj_0020_13_56_14	first_mention	first_mention	other	np-obj	first_mention	17	17 other countries	indefsmo	dsm	dm	dm	d	nonp	NUM ADJ NOUN	ARG1	theme
wsj_0020_14_56_13	diff_sent	same_par	other	np-subj	description	17	Those countries -- including Japan , Italy , Canada , Greece and Spain --	distsmo	dlm	dm	dm	d	nonp	DET NOUN VERB PROPN PROPN PROPN PROPN CCONJ PROPN AUX ADV ADP DET NOUN		NA Theme
wsj_0020_14_12_21	diff_sent	different_par	other	np-obj	name	2	the U.S.	prop	n	n	n	n	nonp	DET PROPN		
wsj_0020_14_50_45	diff_sent	different_par	other	np-obj	description	12	the `` priority '' list	defsmo	dsm	dm	dm	d	nonp	DET SYM NOUN NOUN		
wsj_0020_15_25_12	first_mention	first_mention	human	np-subj	first_mention	4	Gary Hoffman , a Washington lawyer specializing in intellectual - property	flmod	nm	nm	n	n	nonp	PROPN PROPN DET PROPN NOUN VERB ADP ADJ NOUN NOUN VERB DET NOUN	ARG0	agent
wsj_0020_15_53_47	diff_sent	different_par	other	np-obj	name	14	South Korea	prop	n	n	n	n	nonp	PROPN PROPN		
wsj_0020_15_55_52	diff_sent	different_par	other	np-obj	pronoun	16	South Korea , Taiwan and Saudi Arabia	prop	n	n	n	n	nonp	PROPN PROPN PROPN CCONJ PROPN PROPN		
wsj_0020_15_7_49	diff_sent	different_par	other	np-obj	name	23	Taiwan	prop	n	n	n	n	nonp	PROPN		
wsj_0020_15_54_52	diff_sent	different_par	other	np-obj	pronoun	15	Saudi Arabia	prop	n	n	n	n	nonp	PROPN PROPN		
wsj_0020_16_25_15	diff_sent	same_par	human	np-subj	name	4	he	p	p	p	p	p	p	PRON	ARG0	agent
wsj_0020_17_25_0	diff_sent	same_par	human	np-subj	pronoun	4	He	p	p	p	p	p	p	PRON	ARG0	agent
wsj_0020_17_2_3	first_mention	first_mention	other	np-subj	first_mention	3	Mexico	prop	n	n	n	n	nonp	PROPN	ARG1	
wsj_0020_17_50_20	diff_sent	different_par	other	np-obj	description	12	the priority list	defsmo	dsm	dm	dm	d	nonp	DET NOUN NOUN		
wsj_0020_17_2_23	same_sent	same_par	other	subj-det	name	3	its	p	p	p	p	p	p	PRON		
wsj_0020_18_10_1	diff_sent	different_par	human	np-subj	name	1	Mrs. Hills	titl	n	n	n	n	nonp	PROPN PROPN	ARG0	agent
wsj_0020_18_12_5	diff_sent	different_par	other	np-subj	name	2	the U.S.	prop	n	n	n	n	nonp	DET PROPN		NA experiencer
wsj_0020_18_58_14	first_mention	first_mention	other	np-obj	first_mention	19	Turkey	prop	n	n	n	n	nonp	PROPN		
wsj_0020_18_59_20	first_mention	first_mention	other	np-obj	first_mention	20	Malaysia	prop	n	n	n	n	nonp	PROPN		
wsj_0020_19_10_0	diff_sent	same_par	human	np-subj	name	1	She	p	p	p	p	p	p	PRON		
wsj_0020_19_59_16	diff_sent	same_par	other	np-obj	name	20	Malaysia	prop	n	n	n	n	nonp	PROPN		
wsj_0020_19_58_24	diff_sent	same_par	other	np-obj	name	19	Turkey	prop	n	n	n	n	nonp	PROPN		
wsj_0020_20_60_3	diff_sent	different_par	other	np-subj	description	22	The 1988 trade act	prop	n	n	n	n	nonp	DET NUM NOUN NOUN	ARG0	agent
wsj_0020_20_10_6	diff_sent	different_par	human	np-obj	pronoun	1	Mrs. Hills	titl	n	n	n	n	nonp	PROPN PROPN	ARG2	patient
wsj_0020_21_10_4	diff_sent	same_par	human	np-subj	name	1	Mrs. Hills	titl	n	n	n	n	nonp	PROPN PROPN	ARG0	Agent
wsj_0020_21_60_28	diff_sent	same_par	other	np-obj	name	22	the act	defs	d	d	d	d	nonp	DET NOUN		
wsj_0037_1_135_24	first_mention	first_mention	other	np-obj	first_mention	34	Haruki Murakami 's `` A Wild Sheep Chase '' -LRB- Kodansha , 320 pages , $	propmod	nm	nm	n	n	nonp	PROPN PROPN PART SYM DET ADJ NOUN NOUN NOUN PROPN NUM NOUN SYM NUM SYM		
wsj_0037_1_144_8	first_mention	first_mention	human	subj-det	first_mention	43	Haruki Murakami 's	fl	n	n	n	n	nonp	PROPN PROPN		
wsj_0037_1_140_16	first_mention	first_mention	human	np-obj	first_mention	39	Kodansha	prop	n	n	n	n	nonp	PROPN		
wsj_0037_2_137_5	first_mention	first_mention	other	np-obj	first_mention	35	Japan	prop	n	n	n	n	nonp	PROPN		
wsj_0037_2_135_9	diff_sent	same_par	other	subj-det	name	34	the novel 's	defs	d	d	d	d	nonp	DET NOUN PART		
wsj_0037_3_17_0	first_mention	first_mention	human	np-subj	first_mention	69	Characters	indefs	d	d	d	d	nonp	NOUN		agent agent experiencer
wsj_0037_4_17_0	diff_sent	same_par	human	np-subj	description	69	They	p	p	p	p	p	p	PRON		agent NA
wsj_0037_5_17_0	diff_sent	same_par	human	np-subj	pronoun	69	They	p	p	p	p	p	p	PRON		experiencer agent Experiencer
wsj_0037_5_17_3	same_sent	same_par	human	subj-det	pronoun	69	their	p	p	p	p	p	p	PRON		
wsj_0037_6_137_2	diff_sent	same_par	other	np-obj	name	35	Japan	prop	n	n	n	n	nonp	PROPN	ARG2	
wsj_0037_7_135_12	diff_sent	different_par	other	np-obj	description	34	this engaging novel	distsmo	dsm	dm	dm	d	nonp	DET NOUN NOUN		
wsj_0037_7_137_19	diff_sent	different_par	other	np-subj	name	35	Japan	prop	n	n	n	n	nonp	PROPN	ARG1	
wsj_0037_9_135_5	diff_sent	same_par	other	np-subj	description	34	A Wild Sheep Chase	prop	n	n	n	n	nonp	DET ADJ NOUN NOUN	ARG0	Agent
wsj_0037_9_123_13	first_mention	first_mention	other	np-obj	first_mention	32	an implicit message for international relations	indefl	dlm	dm	dm	d	nonp	DET ADJ NOUN ADP ADJ NOUN		
wsj_0037_9_123_15	same_sent	same_par	other	np-subj	description	32	it	p	p	p	p	p	p	PRON		
wsj_0037_10_121_16	first_mention	first_mention	other	np-subj	first_mention	31	the nutty plot of `` A Wild Sheep Chase ''	defl	dlm	dm	dm	d	nonp	DET NOUN NOUN ADP SYM DET ADJ NOUN NOUN AUX		
wsj_0037_10_135_15	diff_sent	different_par	other	np-obj	name	34	A Wild Sheep Chase	prop	n	n	n	n	nonp	DET ADJ NOUN NOUN		
wsj_0037_11_121_0	diff_sent	same_par	other	np-subj	description	31	It	p	p	p	p	p	p	PRON	ARG1	
wsj_0037_12_16_10	first_mention	first_mention	human	np-subj	first_mention	59	A disaffected , hard - drinking , nearly - 30 hero	indefl	dlm	dm	dm	d	nonp	DET ADJ ADJ NOUN ADV NUM NOUN VERB ADP ADP NOUN	ARG0	theme
wsj_0037_13_16_0	diff_sent	same_par	human	np-subj	description	59	He	p	p	p	p	p	p	PRON	ARG0	theme1
wsj_0037_13_16_4	same_sent	same_par	human	subj-det	pronoun	59	his	p	p	p	p	p	p	PRON		
wsj_0037_14_16_4	diff_sent	same_par	human	np-subj	pronoun	59	he	p	p	p	p	p	p	PRON	ARG0	actor1
wsj_0037_14_16_14	same_sent	same_par	human	np-obj	pronoun	59	the hero	defs	d	d	d	d	nonp	DET NOUN	ARG3	recipient
wsj_0037_15_144_7	diff_sent	different_par	human	np-subj	name	43	The 40 - year - old Mr. Murakami	flmod	nm	nm	n	n	nonp	DET NUM NOUN ADJ PROPN PROPN AUX DET	ARG1	
wsj_0037_15_137_13	diff_sent	different_par	other	np-obj	name	35	Japan	prop	n	n	n	n	nonp	PROPN		
wsj_0037_16_110_23	first_mention	first_mention	other	np-subj	first_mention	29	A more recent novel , `` Norwegian Wood '' -LRB- every Japanese under 40	propmod	nm	nm	n	n	nonp	DET ADV ADJ NOUN SYM ADJ PROPN DET ADJ ADP NUM VERB PART AUX VERB ADP PROPN NOUN AUX VERB ADJ ADP NUM	ARG0	agent
