HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.citycountry_10424_wsj2367_1,Answer.citycountry_10424_wsj2367_2,Answer.citycountry_10424_wsj2367_3,Answer.citycountry_10424_wsj2367_4,Answer.citycountry_10424_wsj2367_5,Answer.citycountry_10424_wsj2367_6,Answer.citycountry_10424_wsj2367_7,Answer.citycountry_5350_wsj1347_1,Answer.citycountry_5350_wsj1347_2,Answer.citycountry_5350_wsj1347_3,Answer.citycountry_5350_wsj1347_4,Answer.citycountry_5350_wsj1347_5,Answer.citycountry_5350_wsj1347_6,Answer.citycountry_5350_wsj1347_7,Answer.citycountry_5350_wsj1347_8,Answer.citycountry_5350_wsj1347_9,Answer.gender.female,Answer.gender.male,Answer.gender.other,Answer.human_1376_wsj0909_1,Answer.human_1376_wsj0909_10,Answer.human_1376_wsj0909_2,Answer.human_1376_wsj0909_3,Answer.human_1376_wsj0909_4,Answer.human_1376_wsj0909_5,Answer.human_1376_wsj0909_6,Answer.human_1376_wsj0909_7,Answer.human_1376_wsj0909_8,Answer.human_1376_wsj0909_9,Answer.human_5192_wsj1331_1,Answer.human_5192_wsj1331_2,Answer.human_5192_wsj1331_3,Answer.human_5192_wsj1331_4,Answer.human_5192_wsj1331_5,Answer.human_5192_wsj1331_6,Answer.human_5192_wsj1331_7,Answer.human_8539_wsj1590_1,Answer.human_8539_wsj1590_10,Answer.human_8539_wsj1590_2,Answer.human_8539_wsj1590_3,Answer.human_8539_wsj1590_4,Answer.human_8539_wsj1590_5,Answer.human_8539_wsj1590_6,Answer.human_8539_wsj1590_7,Answer.human_8539_wsj1590_8,Answer.human_8539_wsj1590_9,Answer.human_9636_wsj2326_1,Answer.human_9636_wsj2326_2,Answer.human_9636_wsj2326_3,Answer.human_9636_wsj2326_4,Answer.human_9636_wsj2326_5,Answer.human_9636_wsj2326_6,Answer.human_9636_wsj2326_7,Answer.human_9636_wsj2326_8,Answer.lng.Intermediate,Answer.lng.basic,Answer.lng.fluent,Answer.lng.native_speaker,Answer.org_11061_wsj2383_1,Answer.org_11061_wsj2383_10,Answer.org_11061_wsj2383_2,Answer.org_11061_wsj2383_3,Answer.org_11061_wsj2383_4,Answer.org_11061_wsj2383_5,Answer.org_11061_wsj2383_6,Answer.org_11061_wsj2383_7,Answer.org_11061_wsj2383_8,Answer.org_11061_wsj2383_9,Answer.org_7471_wsj1514_1,Answer.org_7471_wsj1514_2,Answer.org_7471_wsj1514_3,Answer.org_7471_wsj1514_4,Answer.org_7471_wsj1514_5,Answer.org_7471_wsj1514_6,Answer.org_7471_wsj1514_7,Answer.other_2926_wsj1135_1,Answer.other_2926_wsj1135_2,Answer.other_2926_wsj1135_3,Answer.other_2926_wsj1135_4,Answer.other_2926_wsj1135_5,Answer.other_2926_wsj1135_6,Answer.other_2926_wsj1135_7,Answer.other_2926_wsj1135_8,Answer.other_7811_wsj1555_1,Answer.other_7811_wsj1555_2,Answer.other_7811_wsj1555_3,Answer.other_7811_wsj1555_4,Answer.other_7811_wsj1555_5,Answer.other_7811_wsj1555_6,Answer.other_7811_wsj1555_7,Answer.test_1,Approve,Reject
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,3180JW2OT4C0ZBT97M467K99DKH5JW,list2-1,Submitted,Wed Jun 09 03:14:47 PDT 2021,Wed Jun 09 03:48:42 PDT 2021,Sun Jun 13 03:48:42 PDT 2021,NA,NA,NA,2035,0% (0/0),0% (0/0),0% (0/0),30,Addison,it's,it's,Addison,it's,it's,it's,Alaska,Alaska,the,Alaska,the state,state,it,it,Alaska,FALSE,TRUE,FALSE,Jim Wright,he,Jim Wright,the former congressman,his,his,the former congressman,Jim Wright,he,his,James T. Sherwin,he,James T. Sherwin,James,him,his,him,Nigel Lawson,he,he,he,Nigel,he,he,he,he,Nigel Lawson,George Bush,Bush,Bush,his,George Bush,he,he,he,FALSE,FALSE,FALSE,TRUE,ASKO Deutsche Kaufhaus AG - or ASKO for short,it's,ASKO,it's,it,ASKO,it's,it's,it,it's,Vickers PLC,it,Vickers PLC,Vickers PLC,Vickers PLC,it,it,A comprehensive proposal,it,it,the  comprehensive proposal,A comprehensive proposal,it,proposal,the comprehensive proposal,Task Broker,it,Task Broker,it,it,Task Broker,it's,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,34S6N1K2ZVJIAU14B9HSCWPRMJ6LHQ,list2-2,Submitted,Wed Jun 09 04:14:09 PDT 2021,Wed Jun 09 04:35:06 PDT 2021,Sun Jun 13 04:35:06 PDT 2021,NA,NA,NA,1257,0% (0/0),0% (0/0),0% (0/0),29,Addison,its,Addison,The Dallas Suburb,its,Addison,its,Alaska,the state,Alaska's,Alaska,its,Alaskan,the state,It,Alaska,TRUE,FALSE,FALSE,Jim Wright's,Wright,Jim Wright's,Jim Wright,his,his,The former congressman,Wright,he,his,James T. Sherwin,Sherwin,vice-chairman Sherwin,Sherwin,Sherwin,Sherwin's,the vice-chairman,Nigel Lawson,he,the Chancellor of the Exchequer,he,Lawson,he,he,he,the Chancellor,He,George Bush,Bush,Bush,his,president's,Bush,he,he,FALSE,FALSE,TRUE,FALSE,ASKO Deutsche Kaufhaus AG,ASKO,ASKO,its,ASKO,It,ASKO,its,the West German retailer,it,Vickers PLC,Vickers,the UK defense and engineering company,the company,Vickers,Vickers,Vickers PLC,a comprehensive proposal,The proposal,it,It,the proposal,it,the comprehensive proposal,the proposal,Task Broker,it,it,The program,Task Broker,Task Broker,Task Broker,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,392CY0QWG1RM8H53BZ0WQROV0ABI48,list2-3,Submitted,Wed Jun 09 03:27:38 PDT 2021,Wed Jun 09 04:10:28 PDT 2021,Sun Jun 13 04:10:28 PDT 2021,NA,NA,NA,2570,0% (0/0),0% (0/0),0% (0/0),24,Addison,its,its,Addison,its,its,its,Alaska,Alaska,It,Alaska,its,Alaskan,it,Alaska,Alaska,FALSE,TRUE,FALSE,Jim Wright's,Speaker of the House,It is Jim Wright's,Mr. Jim,his,his,He,Wright's,he,his,James T. Sherwin's,Mr. Sherwin,James T. Sherwin,Sherwin,him,Sherwin's,him,Nigel Lawson,he,he,he,Lawson,he,he,he,he,Lawson,George Bush,Bush,He,President Bush's,Bush's,he,he,he,FALSE,FALSE,FALSE,TRUE,ASKO Deutsche Kaufhaus AG,it,ASKO,its,ASKO,ASKO,ASKO,its,it,its,Vickers PLC,its,its,it,Vickers PLC's,it,Vickers PLC,a comprehensive proposal,It,the comprehensive proposal,A comprehensive proposal,it,it,it,it,Task Broker program,it,Broker,It,Task Broker,"""Task Broker""",it,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,3D4CH1LGEAT99W5K26WKMNMV7P4G9H,list2-4,Submitted,Wed Jun 09 03:49:54 PDT 2021,Wed Jun 09 04:28:17 PDT 2021,Sun Jun 13 04:28:17 PDT 2021,NA,NA,NA,2303,100% (2/2),100% (2/2),0% (0/0),29,Addison,small suburb,Dallas,There,a,Addison,city,Alaska,its,Alaska,United States of America,northerly,Alaska,within,They,Alaska,FALSE,TRUE,FALSE,Jim Wright,Jim Wright,former congressman,Jim Wright,the,the,Congressman,United states,they,the,James T.Sherwin,vice-chairman,him,James T. Sherwin,GAF crop,vice-chairman,James,Nigel Lawson,exchequer,he,exchequer,Chancellor,he,Nigel,United,his,He,George Bush,president,George H.W. Bush,him,president,he,George,United states of America,FALSE,FALSE,FALSE,TRUE,ASKO,it,it's,West German retailer,retailer,ASKO,it,ASKO,West German,it's,Vickers PLC,on,engineering company,Vickers PLC,Vickers,it,United Kingdom,a comprehensive,prposal,they,it,negotiations,multilateral trade,agricultural trade,United states,Task Broker,it's,Task Broker,Hewlett-Packard Co,it's,Task Broker,Hewlett-Packard Co,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,3DPNQGW4LLF6FXA29YR7TOYQRIV64F,list2-5,Submitted,Wed Jun 09 01:43:03 PDT 2021,Wed Jun 09 02:14:55 PDT 2021,Sun Jun 13 02:14:55 PDT 2021,NA,NA,NA,1912,100% (1/1),100% (1/1),0% (0/0),28,Addison,Addison,its,Addison,its,its,its,Alaska,Alaska,its,Alaska,its,Alaska,it,it,Alaska,TRUE,FALSE,FALSE,Jim Wright's,former congressman,Jim Wright's,Jim Wright,his,his,he,Wright's,he,his,its vice-chairman,James Sherwin,Sherwin,GAF vice-chairman,Sherwin,Sherwin's,Sherwin,chancellor of the Exchequer,he,Nigel Lawson,he,He,he,he,Nigel,he,he,George Bush,Bush,George Bush,his,Bush,he,he,he,FALSE,FALSE,FALSE,TRUE,ASKO,it,the German retailer,its,ASKO,ASKO,it,its,ASKO,it,Vickers PLC,its,Vickers,it,Vickers,the engineering company,Vickers PLC,a comprehensive proposal,the proposal,it,the proposal,the proposal,it,it,the proposal,program,it,Task Broker,it,the program,Task Broker,Task Broker,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,3DQQ64TANGLQY5BRY0WZUG8Y6H1WPG,list2-6,Submitted,Wed Jun 09 03:14:34 PDT 2021,Wed Jun 09 03:50:58 PDT 2021,Sun Jun 13 03:50:58 PDT 2021,NA,NA,NA,2184,0% (0/0),0% (0/0),0% (0/0),31,Addison,its,its,Addison,its,Addison's,its,Alaska,Alaska,Its,Alaska,Alaska's,Alaska's,it,Alaska,Alaska,FALSE,TRUE,FALSE,Jim Wright's,his office,Wright's,Mr. Wright,his,his,He,Wright's,Mr. Wright,his,Mr. Sherwin,Mr. Sherwin,Mr. Sherwin,the vice-chairman,Mr. Sherwin,Mr. Sherwin's,the vice-chairman,Nigel Lawson,he would,He,Mr. Lawson,He,he,he,Mr. Lawson,he,He,Bush,Bush,He,his,Bush,Bush,he,he,FALSE,FALSE,FALSE,TRUE,ASKO,it,it,ASKO,ASKO,ASKO,ASKO,ASKO's,it,its,Vickers,Vickers on,Vickers,Vickers,Vickers',Vickers,Vickers,a comprehensive proposal,It,a comprehensive proposal,It,a comprehensive proposal,it,it,its comprehensive proposal,its new program,it,it,it,program,Task Broker,Task Broker,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,3EICBYG644WLYW2OMWRELQFJ52DCJN,list2-7,Submitted,Wed Jun 09 03:14:26 PDT 2021,Wed Jun 09 03:43:46 PDT 2021,Sun Jun 13 03:43:46 PDT 2021,NA,NA,NA,1760,0% (0/0),0% (0/0),0% (0/0),NA,Adidson,its,its,Addison,it,its,its,Alaska,its,Alaska,it,its,its,it,Alaska,it,FALSE,FALSE,FALSE,his,he,Jim wright,He,his,his,He,Jim Wright,he,his,James T.Sherwin,him,him,he,him,his,him,Nigel Lawson,his,he,he,He,he,he,he,he,He,George Bush,George Bush,He,his,George Bush,he,he,he,FALSE,FALSE,FALSE,FALSE,ASKO,it,its,ASKO,it,ASKO,it,its,it,its,Vickers PLC,its,it,it,Vicker PLC,it,It,a comprehensive proposal,It,it,it,it,it,it,a comprehensive proposal,Task Broker,it,it,It,it,it,it,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,3F6HPJW4JD0U6YALW2LNY305V7Q2WG,list2-8,Submitted,Wed Jun 09 04:08:00 PDT 2021,Wed Jun 09 04:27:47 PDT 2021,Sun Jun 13 04:27:47 PDT 2021,NA,NA,NA,1187,0% (0/0),0% (0/0),0% (0/0),30,Addison,its,it,Addison,its,it,it,America,United state,Exxon Corp,United state,United State,Company,with,It,it,TRUE,FALSE,FALSE,Jim Wright,company,his,He,his,his,He,He,he,his,he,vice president,united states,He,his,his,his,he,Nigel Lawson,He,He,He,he,he,He,He,He,George,George,Italian President,George,George,He,He,He,FALSE,FALSE,FALSE,TRUE,ASKO Deutsche Kaufhaus AG,It,it,and,It,It,Vote,it,It,Vote,Vickers PLC,on,15.02,with,his,spokenman,securities,proposal,Trade,it,it,It,trade,It,it,Program,Hewlett,He,And,he,He,his,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,3FFJ6VRIL1O59TN2SYDUEOYIJXM0IZ,list2-9,Submitted,Wed Jun 09 02:56:31 PDT 2021,Wed Jun 09 03:37:27 PDT 2021,Sun Jun 13 03:37:27 PDT 2021,NA,NA,NA,2456,0% (0/0),0% (0/0),0% (0/0),51,Addison,the Addison,its,Addison,its,town,Addison's,Alaska,Alaska,Its,Alaska,its,Alaska,it,Alaska,Alaska,TRUE,FALSE,FALSE,Jim Wright,he,Jim Wright's,Wright,his,his,Wright,Jim Wright,Jim Wright,his,James T. Sherwin,Vice Chairman Sherman,James T. Sherwin,James T. Sherwin,Sherwin,James T. Sherwin's,Mr. Sherwin,Nigel Lawson,he,Nigel Lawson,he,Lawson,he,he,Lawson,Nigel Lawson,Lawson,George H. W. Bush,Bush,Bush,his,Bush,Bush,he,he,FALSE,FALSE,FALSE,TRUE,ASKO Deutsche Kaufhaus AG,ASKO,ASKO,its,ASKO,It,ASKO,its,ASKO,it,Vickers PLC,Vickers,Vickers,Vickers PLC,Vickers,Vickers PLC,Vickers,a comprehensive proposal,The proposal,it,The proposal,the comprehensive proposal,it,the proposal,the proposal,a program,it,Task Broker,It,Task Broker,Task Broker,Task Broker,its,NA,NA
3X7837UUADYTWVVTM389A6SH2O6J6P,3ML4SXAKAKLUMN7YQA4LH8SWN9P9BB,Read newspaper articles and fill in the blanks.,"Your task is to fill the gaps in short newspaper texts, to complete the text.","text,blank,language,english,newspaper",$3.60,Wed Jun 09 01:42:49 PDT 2021,20,BatchId:4470648;OriginalHitTemplateId:928390912;,2700,345600,Wed Jun 16 01:42:49 PDT 2021,NA,NA,3FUI0JHJPXYM0I4GQIOQCGU03R433S,list2-10,Submitted,Wed Jun 09 02:30:17 PDT 2021,Wed Jun 09 03:03:49 PDT 2021,Sun Jun 13 03:03:49 PDT 2021,NA,NA,NA,2012,0% (0/0),0% (0/0),0% (0/0),30,Addison,the,it's,Addison,its's,it's,it's,Alaska,the state,the state,the state,the state's,states,the state,Alaska,Alaska,TRUE,FALSE,FALSE,Jim Wright,he,congressman,the former congressman,his,his,he,congressman,the former congressman,his,James T. Sherwin,James T. Sherwin,the vice-chairman of GAF Corp.,James T. Sherwin,him,his,him,Nigel Lawson,he,he,Nigel,Mr. Lawson,he,he,Nigel,Nigel Lawson,he,George Bush,Bush,the former president,his,George Bush,Bush,the president,he,FALSE,FALSE,TRUE,FALSE,ASKO Deutsche Kaufhaus AG,it,ASKO,it's,it,ASKO,it's,it's,it,it,Vickers PLC,Vickers,Vickers,it,Vickers,it,Vickers,A comprehensive proposal,it,this proposal,it,it,it,the proposal,the proposal,Task Broker,which,Task Broker,it,Task Broker,Task Broker,Task Broker,its,NA,NA
