ID	form	correct_ref	gen_refex	Target	Title
0001	proper	yes	Kenneth Roman	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0002	pron	yes	he	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0006	proper	yes	Kenneth Roman's	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0007	pron	yes	his	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0011	proper	yes	The United States Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0012	pron	yes	it	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0013	desc	yes	the currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0014	desc	yes	the Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0015	desc	yes	the US Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0016	pron	yes	its	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0017	proper	yes	the United States Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0021	proper	yes	The Talking Chip	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0024	pron	yes	its	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0026	pron	yes	it	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0028	proper	yes	George W. Bush's	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0029	proper	yes	George W. Bush	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0032	desc	no	George W. Bush's position	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0035	proper	yes	Detrex Corp.	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0036	desc	yes	the company	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0037	pron	yes	its	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0039	pron	yes	it	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0040	desc	yes	The company	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0045	proper	yes	Dr Shin Yonehara and Dr Nobuyuku Kobayashi	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
